transaction_group_id,transaction_type,year,franchise_id_to,franchise_id_from,player_id,extension_year,draft_year,draft_round,draft_franchise_id_original,processed_at
16,TRADE,2005,2,5,15005,,,,,2005-01-22 19:09:00.00
17,RELEASE,2005,,22,24849,,,,,2005-01-22 20:16:00.00
18,RELEASE,2005,,22,22217,,,,,2005-01-22 20:17:00.00
18,RELEASE,2005,,22,25535,,,,,2005-01-22 20:17:00.00
19,RELEASE,2005,,2,26374,,,,,2005-01-22 23:27:00.00
19,RELEASE,2005,,2,25780,,,,,2005-01-22 23:27:00.00
19,RELEASE,2005,,2,26002,,,,,2005-01-22 23:27:00.00
20,RELEASE,2005,,2,25345,,,,,2005-01-22 23:28:00.00
21,TRADE,2005,13,16,24783,,,,,2005-01-23 00:16:00.00
21,TRADE,2005,16,13,25357,,,,,2005-01-23 00:16:00.00
22,TRADE,2005,9,13,,,2005,3,1,2005-01-23 01:42:00.00
22,TRADE,2005,9,13,,,2005,3,5,2005-01-23 01:42:00.00
22,TRADE,2005,13,9,25589,,,,,2005-01-23 01:42:00.00
22,TRADE,2005,13,9,24839,,,,,2005-01-23 01:42:00.00
22,TRADE,2005,9,13,17568,,,,,2005-01-23 01:42:00.00
22,TRADE,2005,9,13,25692,,,,,2005-01-23 01:42:00.00
22,TRADE,2005,9,13,16365,,,,,2005-01-23 01:42:00.00
23,RELEASE,2005,,1,25097,,,,,2005-01-23 14:13:00.00
23,RELEASE,2005,,1,25815,,,,,2005-01-23 14:13:00.00
24,RELEASE,2005,,1,25755,,,,,2005-01-23 14:14:00.00
25,RELEASE,2005,,12,26216,,,,,2005-01-23 15:17:00.00
25,RELEASE,2005,,12,25348,,,,,2005-01-23 15:17:00.00
26,RELEASE,2005,,12,25862,,,,,2005-01-23 15:18:00.00
27,TRADE,2005,12,13,,,2005,2,6,2005-01-23 16:13:00.00
27,TRADE,2005,12,13,,,2005,1,14,2005-01-23 16:13:00.00
27,TRADE,2005,13,12,,,2005,3,22,2005-01-23 16:13:00.00
27,TRADE,2005,12,13,25713,,,,,2005-01-23 16:13:00.00
27,TRADE,2005,13,12,25490,,,,,2005-01-23 16:13:00.00
28,RELEASE,2005,,9,12608,,,,,2005-01-23 17:40:00.00
29,TRADE,2005,5,15,,,2005,2,16,2005-01-23 19:45:00.00
29,TRADE,2005,15,5,24472,,,,,2005-01-23 19:45:00.00
30,RELEASE,2005,,23,24431,,,,,2005-01-23 20:33:00.00
31,RELEASE,2005,,8,25646,,,,,2005-01-23 22:47:00.00
31,RELEASE,2005,,8,24919,,,,,2005-01-23 22:47:00.00
32,RELEASE,2005,,8,10176,,,,,2005-01-23 22:48:00.00
33,RELEASE,2005,,16,24592,,,,,2005-01-24 00:15:00.00
34,TRADE,2005,2,11,,,2005,3,7,2005-01-24 01:10:00.00
34,TRADE,2005,2,11,,,2005,2,9,2005-01-24 01:10:00.00
34,TRADE,2005,2,11,,,2005,2,10,2005-01-24 01:10:00.00
34,TRADE,2005,11,2,10181,,,,,2005-01-24 01:10:00.00
34,TRADE,2005,2,11,25203,,,,,2005-01-24 01:10:00.00
35,TRADE,2005,16,2,24659,,,,,2005-01-25 02:34:00.00
35,TRADE,2005,2,16,25065,,,,,2005-01-25 02:34:00.00
36,RELEASE,2005,,4,26015,,,,,2005-01-25 12:26:00.00
37,RELEASE,2005,,23,11675,,,,,2005-01-25 12:29:00.00
37,RELEASE,2005,,23,15824,,,,,2005-01-25 12:29:00.00
38,RELEASE,2005,,15,25996,,,,,2005-01-25 12:33:00.00
39,RELEASE,2005,,15,25497,,,,,2005-01-25 12:34:00.00
39,RELEASE,2005,,15,14462,,,,,2005-01-25 12:34:00.00
39,RELEASE,2005,,15,25704,,,,,2005-01-25 12:34:00.00
40,TRADE,2005,10,2,,,2005,4,1,2005-01-26 00:42:00.00
40,TRADE,2005,10,2,,,2005,4,12,2005-01-26 00:42:00.00
40,TRADE,2005,10,2,,,2005,4,14,2005-01-26 00:42:00.00
40,TRADE,2005,2,10,18149,,,,,2005-01-26 00:42:00.00
40,TRADE,2005,2,10,25032,,,,,2005-01-26 00:42:00.00
40,TRADE,2005,10,2,26273,,,,,2005-01-26 00:42:00.00
40,TRADE,2005,10,2,25874,,,,,2005-01-26 00:42:00.00
40,TRADE,2005,10,2,15005,,,,,2005-01-26 00:42:00.00
41,TRADE,2005,4,16,24690,,,,,2005-01-26 00:54:00.00
41,TRADE,2005,4,16,24950,,,,,2005-01-26 00:54:00.00
41,TRADE,2005,16,4,21057,,,,,2005-01-26 00:54:00.00
41,TRADE,2005,16,4,10834,,,,,2005-01-26 00:54:00.00
41,TRADE,2005,16,4,26045,,,,,2005-01-26 00:54:00.00
42,RELEASE,2005,,20,25802,,,,,2005-01-26 12:29:00.00
43,RELEASE,2005,,20,24655,,,,,2005-01-26 12:30:00.00
43,RELEASE,2005,,20,26384,,,,,2005-01-26 12:30:00.00
43,RELEASE,2005,,20,24675,,,,,2005-01-26 12:30:00.00
44,TRADE,2005,2,4,,,2005,4,23,2005-01-26 16:18:00.00
44,TRADE,2005,2,4,19926,,,,,2005-01-26 16:18:00.00
44,TRADE,2005,4,2,25943,,,,,2005-01-26 16:18:00.00
44,TRADE,2005,4,2,12662,,,,,2005-01-26 16:18:00.00
45,RELEASE,2005,,7,21327,,,,,2005-01-26 16:28:00.00
45,RELEASE,2005,,7,24728,,,,,2005-01-26 16:28:00.00
46,TRADE,2005,12,9,,,2005,3,1,2005-01-26 16:34:00.00
46,TRADE,2005,12,9,,,2005,3,5,2005-01-26 16:34:00.00
46,TRADE,2005,9,12,,,2005,4,16,2005-01-26 16:34:00.00
46,TRADE,2005,12,9,25551,,,,,2005-01-26 16:34:00.00
46,TRADE,2005,9,12,25068,,,,,2005-01-26 16:34:00.00
47,RELEASE,2005,,11,26211,,,,,2005-01-26 16:41:00.00
48,TRADE,2005,12,11,,,2005,2,18,2005-01-26 16:43:00.00
48,TRADE,2005,12,11,,,2005,4,22,2005-01-26 16:43:00.00
48,TRADE,2005,12,11,15931,,,,,2005-01-26 16:43:00.00
48,TRADE,2005,11,12,25444,,,,,2005-01-26 16:43:00.00
49,RELEASE,2005,,3,15044,,,,,2005-01-26 16:48:00.00
50,RELEASE,2005,,3,25548,,,,,2005-01-26 16:49:00.00
50,RELEASE,2005,,3,20805,,,,,2005-01-26 16:49:00.00
50,RELEASE,2005,,3,24468,,,,,2005-01-26 16:49:00.00
50,RELEASE,2005,,3,24428,,,,,2005-01-26 16:49:00.00
51,RELEASE,2005,,21,25747,,,,,2005-01-27 01:23:00.00
52,RELEASE,2005,,17,24593,,,,,2005-01-27 01:25:00.00
52,RELEASE,2005,,17,26046,,,,,2005-01-27 01:25:00.00
52,RELEASE,2005,,17,12302,,,,,2005-01-27 01:25:00.00
52,RELEASE,2005,,17,25469,,,,,2005-01-27 01:25:00.00
53,RELEASE,2005,,17,25523,,,,,2005-01-27 01:26:00.00
53,RELEASE,2005,,17,24838,,,,,2005-01-27 01:26:00.00
54,RELEASE,2005,,7,24738,,,,,2005-01-28 00:00:00.00
55,TRADE,2005,12,16,25988,,,,,2005-01-28 00:03:00.00
55,TRADE,2005,12,16,25736,,,,,2005-01-28 00:03:00.00
55,TRADE,2005,16,12,17371,,,,,2005-01-28 00:03:00.00
56,TRADE,2005,8,5,,,2005,1,2,2005-01-28 00:09:00.00
56,TRADE,2005,8,5,,,2005,2,2,2005-01-28 00:09:00.00
56,TRADE,2005,5,8,,,2005,1,3,2005-01-28 00:09:00.00
56,TRADE,2005,8,5,,,2005,3,6,2005-01-28 00:09:00.00
56,TRADE,2005,8,5,,,2005,1,18,2005-01-28 00:09:00.00
56,TRADE,2005,8,5,,,2005,3,19,2005-01-28 00:09:00.00
56,TRADE,2005,8,5,,,2005,1,22,2005-01-28 00:09:00.00
56,TRADE,2005,5,8,,,2005,2,23,2005-01-28 00:09:00.00
56,TRADE,2005,8,5,14974,,,,,2005-01-28 00:09:00.00
56,TRADE,2005,8,5,10797,,,,,2005-01-28 00:09:00.00
56,TRADE,2005,8,5,10693,,,,,2005-01-28 00:09:00.00
56,TRADE,2005,5,8,16453,,,,,2005-01-28 00:09:00.00
56,TRADE,2005,5,8,25130,,,,,2005-01-28 00:09:00.00
57,RELEASE,2005,,23,24715,,,,,2005-01-28 00:19:00.00
57,RELEASE,2005,,23,20257,,,,,2005-01-28 00:19:00.00
58,RELEASE,2005,,6,25390,,,,,2005-01-28 00:24:00.00
59,RELEASE,2005,,6,26304,,,,,2005-01-28 00:25:00.00
59,RELEASE,2005,,6,26264,,,,,2005-01-28 00:25:00.00
59,RELEASE,2005,,6,24626,,,,,2005-01-28 00:25:00.00
60,TRADE,2005,7,8,,,2005,2,13,2005-01-29 01:38:00.00
60,TRADE,2005,7,8,11989,,,,,2005-01-29 01:38:00.00
60,TRADE,2005,7,8,25749,,,,,2005-01-29 01:38:00.00
60,TRADE,2005,8,7,24705,,,,,2005-01-29 01:38:00.00
61,RELEASE,2005,,4,24836,,,,,2005-01-29 01:47:00.00
62,TRADE,2005,12,8,,,2005,3,6,2005-01-29 17:30:00.00
62,TRADE,2005,8,12,,,2005,2,18,2005-01-29 17:30:00.00
62,TRADE,2005,12,8,,,2005,3,19,2005-01-29 17:30:00.00
63,TRADE,2005,13,19,,,2005,3,15,2005-01-29 18:08:00.00
63,TRADE,2005,19,13,25342,,,,,2005-01-29 18:08:00.00
64,TRADE,2005,23,16,25354,,,,,2005-02-04 01:17:00.00
64,TRADE,2005,23,16,26020,,,,,2005-02-04 01:17:00.00
64,TRADE,2005,16,23,24829,,,,,2005-02-04 01:17:00.00
65,RELEASE,2005,,15,25266,,,,,2005-02-04 01:27:00.00
66,TRADE,2005,7,11,,,2006,1,11,2005-02-04 01:31:00.00
66,TRADE,2005,11,7,24732,,,,,2005-02-04 01:31:00.00
67,RELEASE,2005,,20,25618,,,,,2005-02-04 01:42:00.00
68,TRADE,2005,2,10,,,2006,3,10,2005-02-04 01:45:00.00
68,TRADE,2005,10,2,25203,,,,,2005-02-04 01:45:00.00
69,RELEASE,2005,,13,24682,,,,,2005-02-04 01:50:00.00
70,TRADE,2005,15,10,25125,,,,,2005-02-04 01:53:00.00
70,TRADE,2005,15,10,24874,,,,,2005-02-04 01:53:00.00
70,TRADE,2005,10,15,24903,,,,,2005-02-04 01:53:00.00
71,RELEASE,2005,,4,26257,,,,,2005-02-04 12:27:00.00
72,RELEASE,2005,,4,26132,,,,,2005-02-04 12:28:00.00
73,RELEASE,2005,,23,25003,,,,,2005-02-04 12:33:00.00
74,TRADE,2005,20,11,25621,,,,,2005-02-05 17:03:00.00
74,TRADE,2005,20,11,16394,,,,,2005-02-05 17:03:00.00
74,TRADE,2005,11,20,25011,,,,,2005-02-05 17:03:00.00
74,TRADE,2005,11,20,,,2006,2,20,2005-02-05 17:03:00.00
74,TRADE,2005,11,20,,,2006,3,20,2005-02-05 17:03:00.00
75,RELEASE,2005,,6,25414,,,,,2005-02-05 18:19:00.00
75,RELEASE,2005,,6,24885,,,,,2005-02-05 18:19:00.00
76,RELEASE,2005,,10,19349,,,,,2005-02-05 18:23:00.00
77,RELEASE,2005,,13,24839,,,,,2005-02-05 18:50:00.00
78,TRADE,2005,4,1,24580,,,,,2005-02-05 18:53:00.00
78,TRADE,2005,4,1,,,2006,2,1,2005-02-05 18:53:00.00
78,TRADE,2005,1,4,24950,,,,,2005-02-05 18:53:00.00
78,TRADE,2005,1,4,,,2006,1,4,2005-02-05 18:53:00.00
78,TRADE,2005,1,4,,,2006,3,4,2005-02-05 18:53:00.00
79,TRADE,2005,13,11,26117,,,,,2005-02-05 19:03:00.00
79,TRADE,2005,13,11,,,2006,2,11,2005-02-05 19:03:00.00
79,TRADE,2005,11,13,16960,,,,,2005-02-05 19:03:00.00
79,TRADE,2005,11,13,,,2006,4,13,2005-02-05 19:03:00.00
80,RELEASE,2005,,4,25906,,,,,2005-02-05 19:26:00.00
81,TRADE,2005,19,8,14974,,,,,2005-02-10 01:05:00.00
81,TRADE,2005,8,19,25319,,,,,2005-02-10 01:05:00.00
81,TRADE,2005,8,19,25970,,,,,2005-02-10 01:05:00.00
82,TRADE,2005,24,22,10201,,,,,2005-02-10 01:14:00.00
82,TRADE,2005,22,24,25799,,,,,2005-02-10 01:14:00.00
83,TRADE,2005,12,13,26077,,,,,2005-02-10 01:21:00.00
83,TRADE,2005,12,13,,,2006,2,13,2005-02-10 01:21:00.00
83,TRADE,2005,13,12,24920,,,,,2005-02-10 01:21:00.00
84,TRADE,2005,18,13,15748,,,,,2005-02-11 00:52:00.00
84,TRADE,2005,13,18,24688,,,,,2005-02-11 00:52:00.00
85,TRADE,2005,1,4,,,2006,2,4,2005-02-12 13:38:00.00
85,TRADE,2005,1,4,,,2006,2,1,2005-02-12 13:38:00.00
85,TRADE,2005,4,1,26565,,,,,2005-02-12 13:38:00.00
86,TRADE,2005,24,2,11528,,,,,2005-02-12 13:45:00.00
86,TRADE,2005,24,2,,,2006,3,10,2005-02-12 13:45:00.00
86,TRADE,2005,2,24,20955,,,,,2005-02-12 13:45:00.00
87,TRADE,2005,23,11,25807,,,,,2005-02-12 14:01:00.00
87,TRADE,2005,23,11,,,2006,3,20,2005-02-12 14:01:00.00
87,TRADE,2005,23,11,,,2006,4,13,2005-02-12 14:01:00.00
87,TRADE,2005,23,11,,,2006,4,11,2005-02-12 14:01:00.00
87,TRADE,2005,11,23,25840,,,,,2005-02-12 14:01:00.00
87,TRADE,2005,11,23,,,2006,1,23,2005-02-12 14:01:00.00
88,TRADE,2005,8,16,25774,,,,,2005-02-12 14:08:00.00
88,TRADE,2005,8,16,26045,,,,,2005-02-12 14:08:00.00
88,TRADE,2005,8,16,14779,,,,,2005-02-12 14:08:00.00
88,TRADE,2005,16,8,25464,,,,,2005-02-12 14:08:00.00
88,TRADE,2005,16,8,10797,,,,,2005-02-12 14:08:00.00
89,SIGN,2005,3,,21789,,,,,2005-02-12 14:29:00.00
90,SIGN,2005,13,,13644,,,,,2005-02-12 14:48:00.00
91,SIGN,2005,5,,22936,,,,,2005-02-12 15:01:00.00
92,SIGN,2005,8,,12943,,,,,2005-02-12 15:19:00.00
93,SIGN,2005,24,,25027,,,,,2005-02-12 15:29:00.00
94,SIGN,2005,4,,13144,,,,,2005-02-12 15:42:00.00
95,SIGN,2005,1,,25104,,,,,2005-02-12 15:51:00.00
96,SIGN,2005,6,,24636,,,,,2005-02-12 16:00:00.00
97,SIGN,2005,19,,17900,,,,,2005-02-12 16:06:00.00
98,SIGN,2005,23,,22217,,,,,2005-02-12 16:14:00.00
99,SIGN,2005,12,,24944,,,,,2005-02-12 16:20:00.00
100,SIGN,2005,11,,24942,,,,,2005-02-12 16:26:00.00
101,SIGN,2005,2,,10230,,,,,2005-02-12 16:42:00.00
102,SIGN,2005,20,,24482,,,,,2005-02-12 17:05:00.00
103,SIGN,2005,18,,24506,,,,,2005-02-12 17:14:00.00
104,SIGN,2005,7,,16244,,,,,2005-02-12 17:21:00.00
105,SIGN,2005,10,,19349,,,,,2005-02-12 17:33:00.00
106,TRADE,2005,1,3,24805,,,,,2005-02-14 00:10:00.00
106,TRADE,2005,1,3,24721,,,,,2005-02-14 00:10:00.00
106,TRADE,2005,1,3,,,2006,4,3,2005-02-14 00:10:00.00
106,TRADE,2005,3,1,24989,,,,,2005-02-14 00:10:00.00
106,TRADE,2005,3,1,25571,,,,,2005-02-14 00:10:00.00
107,TRADE,2005,3,11,25092,,,,,2005-02-14 00:18:00.00
107,TRADE,2005,3,11,18669,,,,,2005-02-14 00:18:00.00
107,TRADE,2005,3,11,25314,,,,,2005-02-14 00:18:00.00
107,TRADE,2005,3,11,24942,,,,,2005-02-14 00:18:00.00
107,TRADE,2005,3,11,25840,,,,,2005-02-14 00:18:00.00
107,TRADE,2005,3,11,24490,,,,,2005-02-14 00:18:00.00
107,TRADE,2005,11,3,18200,,,,,2005-02-14 00:18:00.00
107,TRADE,2005,11,3,17724,,,,,2005-02-14 00:18:00.00
107,TRADE,2005,11,3,21789,,,,,2005-02-14 00:18:00.00
107,TRADE,2005,11,3,25489,,,,,2005-02-14 00:18:00.00
107,TRADE,2005,11,3,,,2006,1,3,2005-02-14 00:18:00.00
108,TRADE,2005,13,11,,,2006,1,23,2005-02-14 00:30:00.00
108,TRADE,2005,11,13,13644,,,,,2005-02-14 00:30:00.00
109,TRADE,2005,8,9,26379,,,,,2005-02-15 23:47:00.00
109,TRADE,2005,8,9,25361,,,,,2005-02-15 23:47:00.00
109,TRADE,2005,8,9,11852,,,,,2005-02-15 23:47:00.00
109,TRADE,2005,9,8,12943,,,,,2005-02-15 23:47:00.00
109,TRADE,2005,9,8,25574,,,,,2005-02-15 23:47:00.00
110,TRADE,2005,23,2,25824,,,,,2005-02-16 00:59:00.00
110,TRADE,2005,23,2,24511,,,,,2005-02-16 00:59:00.00
110,TRADE,2005,23,2,,,2006,3,2,2005-02-16 00:59:00.00
110,TRADE,2005,2,23,22217,,,,,2005-02-16 00:59:00.00
111,TRADE,2005,9,23,24377,,,,,2005-02-16 01:21:00.00
111,TRADE,2005,23,9,24862,,,,,2005-02-16 01:21:00.00
112,TRADE,2005,21,11,25011,,,,,2005-02-17 02:04:00.00
112,TRADE,2005,21,11,18200,,,,,2005-02-17 02:04:00.00
112,TRADE,2005,21,11,,,2006,1,3,2005-02-17 02:04:00.00
112,TRADE,2005,11,21,21061,,,,,2005-02-17 02:04:00.00
113,TRADE,2005,7,5,13806,,,,,2005-02-18 01:42:00.00
113,TRADE,2005,7,5,25380,,,,,2005-02-18 01:42:00.00
113,TRADE,2005,7,5,22936,,,,,2005-02-18 01:42:00.00
113,TRADE,2005,7,5,25762,,,,,2005-02-18 01:42:00.00
113,TRADE,2005,7,5,11702,,,,,2005-02-18 01:42:00.00
113,TRADE,2005,7,5,,,2006,1,5,2005-02-18 01:42:00.00
113,TRADE,2005,7,5,,,2006,4,5,2005-02-18 01:42:00.00
113,TRADE,2005,5,7,25719,,,,,2005-02-18 01:42:00.00
113,TRADE,2005,5,7,11989,,,,,2005-02-18 01:42:00.00
113,TRADE,2005,5,7,25173,,,,,2005-02-18 01:42:00.00
113,TRADE,2005,5,7,16244,,,,,2005-02-18 01:42:00.00
113,TRADE,2005,5,7,24420,,,,,2005-02-18 01:42:00.00
114,TRADE,2005,12,16,,,2006,1,16,2005-02-18 01:54:00.00
114,TRADE,2005,16,12,25583,,,,,2005-02-18 01:54:00.00
115,TRADE,2005,11,24,23717,,,,,2005-02-18 02:02:00.00
115,TRADE,2005,11,24,25299,,,,,2005-02-18 02:02:00.00
115,TRADE,2005,24,11,16960,,,,,2005-02-18 02:02:00.00
115,TRADE,2005,24,11,25675,,,,,2005-02-18 02:02:00.00
116,TRADE,2005,6,24,,,2006,1,24,2005-02-18 23:36:00.00
116,TRADE,2005,24,6,24636,,,,,2005-02-18 23:36:00.00
117,TRADE,2005,13,24,,,2006,3,24,2005-02-18 23:43:00.00
117,TRADE,2005,13,24,,,2006,3,10,2005-02-18 23:43:00.00
117,TRADE,2005,24,13,25166,,,,,2005-02-18 23:43:00.00
117,TRADE,2005,24,13,25167,,,,,2005-02-18 23:43:00.00
118,TRADE,2005,7,11,24732,,,,,2005-02-18 23:46:00.00
118,TRADE,2005,11,7,14660,,,,,2005-02-18 23:46:00.00
119,TRADE,2005,14,11,10181,,,,,2005-02-19 12:21:00.00
119,TRADE,2005,14,11,21789,,,,,2005-02-19 12:21:00.00
119,TRADE,2005,11,14,12328,,,,,2005-02-19 12:21:00.00
119,TRADE,2005,11,14,24883,,,,,2005-02-19 12:21:00.00
120,TRADE,2005,8,1,,,2006,2,4,2005-02-19 12:31:00.00
120,TRADE,2005,1,8,25678,,,,,2005-02-19 12:31:00.00
121,SIGN,2005,19,,20257,,,,,2005-02-19 13:32:00.00
122,SIGN,2005,13,,24870,,,,,2005-02-19 13:34:00.00
123,SIGN,2005,8,,22150,,,,,2005-02-19 13:35:00.00
123,SIGN,2005,22,,23480,,,,,2005-02-19 13:35:00.00
123,SIGN,2005,1,,24648,,,,,2005-02-19 13:35:00.00
124,SIGN,2005,24,,24671,,,,,2005-02-19 13:36:00.00
125,SIGN,2005,3,,24010,,,,,2005-02-19 13:40:00.00
126,SIGN,2005,17,,15478,,,,,2005-02-19 13:41:00.00
127,SIGN,2005,23,,17560,,,,,2005-02-19 13:43:00.00
128,SIGN,2005,12,,19217,,,,,2005-02-19 13:44:00.00
128,SIGN,2005,6,,21360,,,,,2005-02-19 13:44:00.00
128,SIGN,2005,14,,25038,,,,,2005-02-19 13:44:00.00
128,SIGN,2005,2,,24738,,,,,2005-02-19 13:44:00.00
128,SIGN,2005,21,,20198,,,,,2005-02-19 13:44:00.00
129,SIGN,2005,16,,24475,,,,,2005-02-19 13:45:00.00
129,SIGN,2005,18,,23429,,,,,2005-02-19 13:45:00.00
129,SIGN,2005,9,,23076,,,,,2005-02-19 13:45:00.00
129,SIGN,2005,10,,25613,,,,,2005-02-19 13:45:00.00
129,SIGN,2005,23,,23092,,,,,2005-02-19 13:45:00.00
129,SIGN,2005,13,,10420,,,,,2005-02-19 13:45:00.00
130,SIGN,2005,19,,24921,,,,,2005-02-19 13:46:00.00
130,SIGN,2005,1,,24715,,,,,2005-02-19 13:46:00.00
130,SIGN,2005,8,,24728,,,,,2005-02-19 13:46:00.00
130,SIGN,2005,12,,10667,,,,,2005-02-19 13:46:00.00
130,SIGN,2005,17,,23926,,,,,2005-02-19 13:46:00.00
130,SIGN,2005,6,,23858,,,,,2005-02-19 13:46:00.00
131,SIGN,2005,2,,25303,,,,,2005-02-19 13:47:00.00
131,SIGN,2005,21,,24777,,,,,2005-02-19 13:47:00.00
131,SIGN,2005,16,,25098,,,,,2005-02-19 13:47:00.00
131,SIGN,2005,18,,10130,,,,,2005-02-19 13:47:00.00
132,TRADE,2005,6,22,25770,,,,,2005-02-23 00:22:00.00
132,TRADE,2005,6,22,17854,,,,,2005-02-23 00:22:00.00
132,TRADE,2005,22,6,25739,,,,,2005-02-23 00:22:00.00
133,TRADE,2005,18,20,24935,,,,,2005-02-23 00:36:00.00
133,TRADE,2005,20,18,25286,,,,,2005-02-23 00:36:00.00
133,TRADE,2005,20,18,24561,,,,,2005-02-23 00:36:00.00
134,TRADE,2005,13,16,,,2006,2,16,2005-02-23 00:48:00.00
134,TRADE,2005,16,13,26117,,,,,2005-02-23 00:48:00.00
135,TRADE,2005,5,7,26516,,,,,2005-02-24 02:19:00.00
135,TRADE,2005,7,5,13559,,,,,2005-02-24 02:19:00.00
136,TRADE,2005,3,7,13806,,,,,2005-02-24 23:07:00.00
136,TRADE,2005,3,7,26539,,,,,2005-02-24 23:07:00.00
136,TRADE,2005,7,3,25143,,,,,2005-02-24 23:07:00.00
136,TRADE,2005,7,3,,,2006,2,3,2005-02-24 23:07:00.00
136,TRADE,2005,7,3,,,2006,3,3,2005-02-24 23:07:00.00
137,TRADE,2005,23,13,,,2006,2,11,2005-02-24 23:18:00.00
137,TRADE,2005,13,23,24709,,,,,2005-02-24 23:18:00.00
138,TRADE,2005,12,16,25566,,,,,2005-02-24 23:24:00.00
138,TRADE,2005,12,16,21057,,,,,2005-02-24 23:24:00.00
138,TRADE,2005,12,16,24829,,,,,2005-02-24 23:24:00.00
138,TRADE,2005,12,16,24659,,,,,2005-02-24 23:24:00.00
138,TRADE,2005,16,12,10667,,,,,2005-02-24 23:24:00.00
139,TRADE,2005,18,10,25758,,,,,2005-02-25 12:42:00.00
139,TRADE,2005,18,10,24612,,,,,2005-02-25 12:42:00.00
139,TRADE,2005,10,18,23429,,,,,2005-02-25 12:42:00.00
140,TRADE,2005,8,6,25771,,,,,2005-02-26 04:30:00.00
140,TRADE,2005,8,6,17854,,,,,2005-02-26 04:30:00.00
140,TRADE,2005,8,6,23858,,,,,2005-02-26 04:30:00.00
140,TRADE,2005,8,6,,,2006,1,24,2005-02-26 04:30:00.00
140,TRADE,2005,8,6,,,2006,1,6,2005-02-26 04:30:00.00
140,TRADE,2005,8,6,,,2006,2,6,2005-02-26 04:30:00.00
140,TRADE,2005,8,6,,,2006,3,6,2005-02-26 04:30:00.00
140,TRADE,2005,8,6,,,2006,4,6,2005-02-26 04:30:00.00
140,TRADE,2005,6,8,25361,,,,,2005-02-26 04:30:00.00
140,TRADE,2005,6,8,24705,,,,,2005-02-26 04:30:00.00
