year,franchise_id,team_id,owner_id
2003,24,44,42
2004,1,49,46
2004,2,46,25
2004,3,35,26
2004,4,47,44
2004,5,36,28
2004,6,6,6
2004,7,51,47
2004,8,48,45
2004,9,38,38
2004,10,10,43
2004,11,31,31
2004,12,39,39
2004,13,45,40
2004,14,14,14
2004,15,15,15
2004,16,16,16
2004,17,41,32
2004,18,50,18
2004,19,19,19
2004,20,20,20
2004,21,32,33
2004,22,42,41
2004,23,43,34
2004,24,44,42
2005,1,49,46
2005,2,46,25
2005,3,35,26
2005,4,47,44
2005,5,36,28
2005,6,6,6
2005,7,51,47
2005,8,48,45
2005,9,38,38
2005,10,10,43
2005,11,31,31
2005,12,39,39
2005,13,45,40
2005,14,14,14
2005,15,15,15
2005,16,16,16
2005,17,41,32
2005,18,50,18
2005,19,19,19
2005,20,20,20
2005,21,32,33
2005,22,42,41
2005,23,53,49
2005,24,52,48
2006,1,54,46
2006,2,46,25
2006,3,35,26
2006,4,47,44
2006,5,36,28
2006,6,6,6
2006,7,43,34
2006,8,48,45
2006,9,38,38
2006,10,10,43
2006,11,31,31
2006,12,39,39
2006,13,45,40
2006,14,14,14
2006,15,15,15
2006,16,16,16
2006,17,41,32
2006,18,50,18
2006,19,19,19
2006,20,20,20
2006,21,32,33
2006,22,42,41
2006,23,53,49
2006,24,52,48
2007,1,56,51
2007,2,46,25
2007,3,35,26
2007,4,47,44
2007,5,36,28
2007,6,6,6
2007,7,43,34
2007,8,48,45
2007,9,38,38
2007,10,10,43
2007,11,31,31
2007,12,55,50
2007,13,45,40
2007,14,14,14
2007,15,15,15
2007,16,16,16
2007,17,41,32
2007,18,50,18
2007,19,19,19
2007,20,20,20
2007,21,32,33
2007,22,42,41
2007,23,53,49
2007,24,52,48
2008,1,56,51
2008,2,46,25
2008,3,35,26
2008,4,57,52
2008,5,36,28
2008,6,6,6
2008,7,43,34
2008,8,48,45
2008,9,60,55
2008,10,10,43
2008,11,31,31
2008,12,55,50
2008,13,45,40
2008,14,59,54
2008,15,15,15
2008,16,16,16
2008,17,41,32
2008,18,50,18
2008,19,19,19
2008,20,20,20
2008,21,58,42
2008,22,42,41
2008,23,53,49
2008,24,52,48
2009,1,56,51
2009,2,46,25
2009,3,35,26
2009,4,57,52
2009,5,62,28
2009,6,6,6
2009,7,61,56
2009,8,48,45
2009,9,60,55
2009,10,10,43
2009,11,31,31
2009,12,55,50
2009,13,45,40
2009,14,59,54
2009,15,15,15
2009,16,16,16
2009,17,41,32
2009,18,50,18
2009,19,19,19
2009,20,20,20
2009,21,63,57
2009,22,42,41
2009,23,53,49
2009,24,52,48
2010,1,64,58
2010,2,46,25
2010,3,35,26
2010,4,57,52
2010,5,62,28
2010,6,66,60
2010,7,61,56
2010,8,48,45
2010,9,60,55
2010,10,10,43
2010,11,31,31
2010,12,55,50
2010,13,45,40
2010,14,65,59
2010,15,15,15
2010,16,16,16
2010,17,67,61
2010,18,50,18
2010,19,19,19
2010,20,20,20
2010,21,63,57
2010,22,42,41
2010,23,53,49
2010,24,52,48
2011,1,70,63
2011,2,46,25
2011,3,68,46
2011,4,57,52
2011,5,62,28
2011,6,66,60
2011,7,69,62
2011,8,48,45
2011,9,60,55
2011,10,72,65
2011,11,31,31
2011,12,55,50
2011,13,45,40
2011,14,65,59
2011,15,15,15
2011,16,16,16
2011,17,67,61
2011,18,50,18
2011,19,19,19
2011,20,20,20
2011,21,63,57
2011,22,42,41
2011,23,53,49
2011,24,71,44
2012,1,76,68
2012,2,46,25
2012,3,77,69
2012,4,57,52
2012,5,62,28
2012,6,66,60
2012,7,69,62
2012,8,48,45
2012,9,60,55
2012,10,72,65
2012,11,31,31
2012,12,55,50
2012,13,45,40
2012,14,65,59
2012,15,15,15
2012,16,16,16
2012,17,67,61
2012,18,50,18
2012,19,19,19
2012,20,20,20
2012,21,73,66
2012,22,42,41
2012,23,53,49
2012,24,75,33
2013,1,76,68
2013,2,46,25
2013,3,77,69
2013,4,57,52
2013,5,62,28
2013,6,66,60
2013,7,69,62
2013,8,48,45
2013,9,79,55
2013,10,80,71
2013,11,31,31
2013,12,55,50
2013,13,45,40
2013,14,65,59
2013,15,15,15
2013,16,16,16
2013,17,67,61
2013,18,50,18
2013,19,81,72
2013,20,20,20
2013,21,73,66
2013,22,42,41
2013,23,53,49
2013,24,78,70
